name,author,narrator,time,releasedate,language,stars,price,ratings
Geronimo Stilton #11 & #12,GeronimoStilton,BillLobely,140,2008-04-08,English,5,468,34
The Burning Maze,RickRiordan,RobbieDaymond,788,2018-01-05,English,4.5,820,41
The Deep End,JeffKinney,DanRussell,123,2020-06-11,English,4.5,410,38
Daughter of the Deep,RickRiordan,SoneelaNankani,676,2021-05-10,English,4.5,615,12
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,JesseBernstein,600,2010-01-13,English,4.5,820,181
The Hunger Games: Special Edition,SuzanneCollins,TatianaMaslany,635,2018-10-30,English,5,656,72
Quest for the Diamond Sword,WinterMorgan,LukeDaniels,143,2014-11-25,English,5,233,11
The Dark Prophecy,RickRiordan,RobbieDaymond,752,2017-02-05,English,5,820,50
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,656,2017-02-05,English,5,1256,5
The Tyrant’s Tomb,RickRiordan,RobbieDaymond,802,2019-09-24,English,5,820,58
"The Titan's Curse: Percy Jackson, Book 3",RickRiordan,JesseBernstein,528,2010-01-14,English,4.5,820,130
Magic Tree House Collection: Books 9-16,MaryPopeOsborne,MaryPopeOsborne,323,2011-08-24,English,5,1206,6
Magic Tree House Collection: Books 1-8,MaryPopeOsborne,MaryPopeOsborne,361,2011-09-27,English,5,1206,7
Magnus Chase and the Ship of the Dead,RickRiordan,MichaelCrouch,778,2017-03-10,English,5,820,41
Northern Lights,PhilipPullman,"PhilipPullman,fullcast,RuthWilson",715,2021-06-24,English,4,1093,2
Geronimo Stilton #13 and #14,GeronimoStilton,BillLobley,145,2008-08-02,English,4.5,467,33
Magic Tree House Collection,MaryPopeOsborne,MaryPopeOsborne,304,2004-12-26,English,5,1206,7
Exile,ShannonMessenger,CaitlinKelly,881,2018-06-11,English,5,836,20
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,618,2017-02-05,English,5,1256,11
Neverseen,ShannonMessenger,CaitlinKelly,1002,2018-06-11,English,5,1003,13
The Tower of Nero,RickRiordan,RobbieDaymond,732,2020-06-10,English,5,615,79
"Eldest: The Inheritance Cycle, Book 2",ChristopherPaolini,GerrardDoyle,1409,2009-04-14,English,4.5,957,47
Artemis Fowl,EoinColfer,GerryO'Brien,406,2013-11-04,English,5,683,27
Geronimo Stilton 22 & 24,GeronimoStilton,BillLobley,157,2011-01-02,English,4.5,469,25
Percy Jackson and the Battle of the Labyrinth,RickRiordan,JesseBernstein,632,2010-01-21,English,5,820,101
Winnie-the-Pooh,A.A.Milne,PeterDennis,166,2003-12-28,English,5,468,15
Magic Tree House Collection: Books 25-32,MaryPopeOsborne,MaryPopeOsborne,429,2020-01-09,English,5,1256,3
Geronimo Stilton #20 and #21,GeronimoStilton,BillLobley,152,2010-01-10,English,5,469,18
The Red Pyramid,RickRiordan,"JaneCollingwood,JosephMay",824,2013-01-24,English,4.5,820,37
Mystery of the Griefer's Mark,WinterMorgan,LukeDaniels,113,2014-11-25,English,5,233,9
Geronimo Stilton #17,GeronimoStilton,BillLobley,148,2009-07-13,English,5,468,8
The House at Pooh Corner,A.A.Milne,PeterDennis,192,2005-05-04,English,5,374,5
Mission Unstoppable,DanGutman,MichaelGoldstrom,368,2013-01-08,English,5,702,8
Darkness of Dragons,TuiT.Sutherland,ShannonMcManus,626,2017-01-08,English,5,656,8
"14 Short Stories Bundle for Kids: Adventure, Science Fiction, Aesop’s Fables, Classic Fairy Tales and Christmas Story Books for Children",NayomiPhillips,"MonicaRachelle,JimD.Johnston,KatieOtten",193,2019-01-22,English,0,501,0
The Adventures of Rusty,RuskinBond,NehaGargava,341,2018-01-11,Hindi,4.5,284,10
Geronimo Stilton #15 and #16,GeronimoStilton,BillLobley,163,2008-08-02,English,4,467,28
The Lost Heir,TuiT.Sutherland,ShannonMcManus,443,2016-04-02,English,5,575,9
Everblaze,ShannonMessenger,CaitlinKelly,879,2018-06-11,English,5,836,18
Treasure Hunters in Trouble,WinterMorgan,LukeDaniels,118,2015-03-31,English,5,668,7
Lodestar,ShannonMessenger,CaitlinKelly,991,2018-06-11,English,5,1003,19
Curse of the Arctic Star,CarolynKeene,JorjeanaMarie,215,2014-12-28,English,4.5,305,25
